"Date","TestsCompleted","newTests"
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,400,400
2020-03-16,2280,1880
2020-03-17,2912,632
2020-03-18,3270,358
2020-03-19,3534,264
2020-03-20,3534,0
2020-03-21,3801,267
2020-03-22,4245,444
2020-03-23,4245,0
2020-03-24,4520,275
2020-03-25,4520,0
2020-03-26,5606,1086
2020-03-27,6203,597
2020-03-28,6203,0
2020-03-29,7147,944
2020-03-30,8550,1403
2020-03-31,8914,364
2020-04-01,10044,1130
2020-04-02,11327,1283
2020-04-03,11952,625
2020-04-04,12514,562
2020-04-05,12998,484
2020-04-06,13476,478
2020-04-07,14280,804
2020-04-08,14708,428
2020-04-09,15259,551
2020-04-10,16220,961
2020-04-11,16383,163
2020-04-12,17221,838
2020-04-13,17245,24
2020-04-14,17709,464
2020-04-15,17902,193
2020-04-16,18349,447
2020-04-17,18856,507
2020-04-18,19193,337
2020-04-19,19744,551
2020-04-20,20012,268
2020-04-21,20319,306
2020-04-22,21601,1282
